INFO:root:Namespace(aggregation='max', batch_size=256, debug=False, device=device(type='cuda'), dropout=0.1, epochs=50, hidden_size=128, in_features=17, kernel_size=3, log_dir='exps/logs', lr=0.0001, model='LSTM', num_channels=[64, 64, 128], num_classes=2, num_layers=2, num_workers=4, print_freq=5, root='data', save_dir='exps/chpts/LSTM_layers2_stride1_max_lr0.0001', seed=14, start_epoch=0, tb_dir='exps/tb/LSTM_layers2_stride1_max_lr0.0001', temp_stride=1)
INFO:root:LSTM(
  (rnn): LSTM(17, 128, num_layers=2, batch_first=True)
  (fc): Linear(in_features=128, out_features=2, bias=True)
  (avg_pool): AdaptiveAvgPool1d(output_size=1)
  (max_pool): AdaptiveMaxPool1d(output_size=1)
)
INFO:root:=> Loading 2396 samples for train
INFO:root:=> Loading 313 samples for val
INFO:root:=> Loading 583 samples for test
INFO:root:TRAIN | Epoch: [0/50] | Loss: 0.6932 | AP: 44.70 | TP:0.89, FP:1.11, FN:97.60, TN:150.10 | ACC: 60.56
INFO:root:VAL   | Epoch: [0/50] | Loss: 0.6949 | AP: 40.03 | TP:2.0, FP:0.0, FN:127.0, TN:184.0 | ACC: 59.42
INFO:root:=> AP improved (40.03) improved at epoch 0 | saving best model!
INFO:root:TRAIN | Epoch: [1/50] | Loss: 0.6919 | AP: 48.27 | TP:10.68, FP:10.83, FN:87.75, TN:140.44 | ACC: 60.48
INFO:root:VAL   | Epoch: [1/50] | Loss: 0.6947 | AP: 37.71 | TP:24.0, FP:57.0, FN:105.0, TN:127.0 | ACC: 48.24
INFO:root:TRAIN | Epoch: [2/50] | Loss: 0.6910 | AP: 48.01 | TP:44.48, FP:48.56, FN:53.54, TN:103.13 | ACC: 59.18
INFO:root:VAL   | Epoch: [2/50] | Loss: 0.6950 | AP: 36.99 | TP:58.0, FP:109.0, FN:71.0, TN:75.0 | ACC: 42.49
INFO:root:TRAIN | Epoch: [3/50] | Loss: 0.6900 | AP: 48.50 | TP:67.62, FP:80.20, FN:29.92, TN:71.96 | ACC: 55.97
INFO:root:VAL   | Epoch: [3/50] | Loss: 0.6953 | AP: 36.23 | TP:81.0, FP:134.0, FN:48.0, TN:50.0 | ACC: 41.85
INFO:root:TRAIN | Epoch: [4/50] | Loss: 0.6891 | AP: 48.71 | TP:77.06, FP:98.34, FN:21.65, TN:52.66 | ACC: 51.79
INFO:root:VAL   | Epoch: [4/50] | Loss: 0.6957 | AP: 35.78 | TP:94.0, FP:147.0, FN:35.0, TN:37.0 | ACC: 41.85
INFO:root:TRAIN | Epoch: [5/50] | Loss: 0.6878 | AP: 49.25 | TP:78.36, FP:99.90, FN:19.79, TN:51.65 | ACC: 51.96
INFO:root:VAL   | Epoch: [5/50] | Loss: 0.6964 | AP: 35.90 | TP:87.0, FP:136.0, FN:42.0, TN:48.0 | ACC: 43.13
INFO:root:TRAIN | Epoch: [6/50] | Loss: 0.6865 | AP: 49.97 | TP:71.54, FP:88.02, FN:26.89, TN:63.26 | ACC: 53.96
INFO:root:VAL   | Epoch: [6/50] | Loss: 0.6976 | AP: 35.88 | TP:75.0, FP:118.0, FN:54.0, TN:66.0 | ACC: 45.05
INFO:root:TRAIN | Epoch: [7/50] | Loss: 0.6848 | AP: 49.15 | TP:67.39, FP:82.00, FN:30.56, TN:69.75 | ACC: 54.80
INFO:root:VAL   | Epoch: [7/50] | Loss: 0.6993 | AP: 35.42 | TP:78.0, FP:119.0, FN:51.0, TN:65.0 | ACC: 45.69
INFO:root:TRAIN | Epoch: [8/50] | Loss: 0.6833 | AP: 50.27 | TP:69.88, FP:87.26, FN:28.20, TN:64.36 | ACC: 53.88
INFO:root:VAL   | Epoch: [8/50] | Loss: 0.7013 | AP: 35.30 | TP:80.0, FP:125.0, FN:49.0, TN:59.0 | ACC: 44.41
INFO:root:TRAIN | Epoch: [9/50] | Loss: 0.6810 | AP: 49.97 | TP:69.55, FP:85.14, FN:28.88, TN:66.14 | ACC: 54.26
INFO:root:VAL   | Epoch: [9/50] | Loss: 0.7052 | AP: 35.45 | TP:77.0, FP:119.0, FN:52.0, TN:65.0 | ACC: 45.37
INFO:root:TRAIN | Epoch: [10/50] | Loss: 0.6791 | AP: 49.86 | TP:67.10, FP:83.00, FN:31.26, TN:68.34 | ACC: 54.22
INFO:root:VAL   | Epoch: [10/50] | Loss: 0.7093 | AP: 35.49 | TP:79.0, FP:122.0, FN:50.0, TN:62.0 | ACC: 45.05
INFO:root:TRAIN | Epoch: [11/50] | Loss: 0.6771 | AP: 49.76 | TP:71.96, FP:87.35, FN:26.74, TN:63.66 | ACC: 54.34
INFO:root:VAL   | Epoch: [11/50] | Loss: 0.7142 | AP: 35.33 | TP:81.0, FP:125.0, FN:48.0, TN:59.0 | ACC: 44.73
INFO:root:TRAIN | Epoch: [12/50] | Loss: 0.6748 | AP: 50.40 | TP:71.68, FP:84.86, FN:27.02, TN:66.14 | ACC: 55.18
INFO:root:VAL   | Epoch: [12/50] | Loss: 0.7214 | AP: 35.45 | TP:74.0, FP:116.0, FN:55.0, TN:68.0 | ACC: 45.37
INFO:root:TRAIN | Epoch: [13/50] | Loss: 0.6741 | AP: 50.60 | TP:63.75, FP:74.96, FN:34.47, TN:76.52 | ACC: 56.34
INFO:root:VAL   | Epoch: [13/50] | Loss: 0.7242 | AP: 35.87 | TP:64.0, FP:111.0, FN:65.0, TN:73.0 | ACC: 43.77
INFO:root:TRAIN | Epoch: [14/50] | Loss: 0.6735 | AP: 50.65 | TP:68.00, FP:80.25, FN:30.02, TN:71.44 | ACC: 55.88
INFO:root:VAL   | Epoch: [14/50] | Loss: 0.7251 | AP: 35.51 | TP:74.0, FP:122.0, FN:55.0, TN:62.0 | ACC: 43.45
INFO:root:TRAIN | Epoch: [15/50] | Loss: 0.6722 | AP: 51.44 | TP:69.38, FP:82.73, FN:28.64, TN:68.95 | ACC: 55.43
INFO:root:VAL   | Epoch: [15/50] | Loss: 0.7241 | AP: 35.90 | TP:71.0, FP:117.0, FN:58.0, TN:67.0 | ACC: 44.09
INFO:root:TRAIN | Epoch: [16/50] | Loss: 0.6707 | AP: 51.55 | TP:67.35, FP:78.17, FN:31.15, TN:73.04 | ACC: 56.18
INFO:root:VAL   | Epoch: [16/50] | Loss: 0.7253 | AP: 36.19 | TP:69.0, FP:110.0, FN:60.0, TN:74.0 | ACC: 45.69
INFO:root:TRAIN | Epoch: [17/50] | Loss: 0.6702 | AP: 51.42 | TP:63.67, FP:70.32, FN:34.76, TN:80.95 | ACC: 58.10
INFO:root:VAL   | Epoch: [17/50] | Loss: 0.7265 | AP: 36.54 | TP:66.0, FP:106.0, FN:63.0, TN:78.0 | ACC: 46.01
INFO:root:TRAIN | Epoch: [18/50] | Loss: 0.6680 | AP: 52.89 | TP:67.32, FP:75.55, FN:31.11, TN:75.72 | ACC: 57.35
