INFO:root:Namespace(aggregation='average', batch_size=256, debug=False, device=device(type='cuda'), dropout=0.1, epochs=50, hidden_size=128, in_features=17, kernel_size=3, log_dir='exps/logs', lr=0.0001, model='LSTM', num_channels=[64, 64, 128], num_classes=2, num_layers=2, num_workers=4, print_freq=5, root='data', save_dir='exps/chpts/LSTM_layers2_stride3_average_lr0.0001', seed=14, start_epoch=0, tb_dir='exps/tb/LSTM_layers2_stride3_average_lr0.0001', temp_stride=3)
INFO:root:LSTM(
  (rnn): LSTM(17, 128, num_layers=2, batch_first=True)
  (fc): Linear(in_features=128, out_features=2, bias=True)
  (avg_pool): AdaptiveAvgPool1d(output_size=1)
  (max_pool): AdaptiveMaxPool1d(output_size=1)
)
INFO:root:=> Loading 2396 samples for train
INFO:root:=> Loading 313 samples for val
INFO:root:=> Loading 583 samples for test
INFO:root:TRAIN | Epoch: [0/50] | Loss: 0.6930 | AP: 44.99 | TP:2.60, FP:2.79, FN:95.89, TN:148.42 | ACC: 60.52
INFO:root:VAL   | Epoch: [0/50] | Loss: 0.6944 | AP: 39.09 | TP:6.0, FP:11.0, FN:123.0, TN:173.0 | ACC: 57.19
INFO:root:=> AP improved (39.09) improved at epoch 0 | saving best model!
INFO:root:TRAIN | Epoch: [1/50] | Loss: 0.6918 | AP: 48.36 | TP:26.37, FP:27.53, FN:72.06, TN:123.75 | ACC: 60.06
INFO:root:VAL   | Epoch: [1/50] | Loss: 0.6945 | AP: 36.19 | TP:63.0, FP:108.0, FN:66.0, TN:76.0 | ACC: 44.41
INFO:root:TRAIN | Epoch: [2/50] | Loss: 0.6907 | AP: 47.56 | TP:64.75, FP:75.76, FN:33.26, TN:75.93 | ACC: 56.34
INFO:root:VAL   | Epoch: [2/50] | Loss: 0.6950 | AP: 35.08 | TP:82.0, FP:129.0, FN:47.0, TN:55.0 | ACC: 43.77
INFO:root:TRAIN | Epoch: [3/50] | Loss: 0.6897 | AP: 47.93 | TP:75.21, FP:97.17, FN:22.33, TN:55.00 | ACC: 52.25
INFO:root:VAL   | Epoch: [3/50] | Loss: 0.6958 | AP: 34.70 | TP:85.0, FP:142.0, FN:44.0, TN:42.0 | ACC: 40.58
INFO:root:TRAIN | Epoch: [4/50] | Loss: 0.6885 | AP: 48.28 | TP:80.55, FP:106.08, FN:18.15, TN:44.92 | ACC: 50.08
INFO:root:VAL   | Epoch: [4/50] | Loss: 0.6967 | AP: 34.37 | TP:96.0, FP:146.0, FN:33.0, TN:38.0 | ACC: 42.81
INFO:root:TRAIN | Epoch: [5/50] | Loss: 0.6869 | AP: 48.82 | TP:80.54, FP:104.15, FN:17.62, TN:47.40 | ACC: 51.13
INFO:root:VAL   | Epoch: [5/50] | Loss: 0.6981 | AP: 34.48 | TP:85.0, FP:139.0, FN:44.0, TN:45.0 | ACC: 41.53
